Genetree,reference1,Mmi-a,Mmi-b,Han-a,Han-b,Sre-a,Sre-b,Cca-a,Cti-a,Eca-a,Cso-a
Asterales_Lsa_chr1_gene3212,Lsa1g3212|XP_023731200|(172010018-172011887),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3213,Lsa1g3213|XP_042756140|(172053509-172054012),none,none,none,none,none,none,Cca10g0219|XP_024984571|(4914923-4915384),none,Eca9g1201|XP_043611618|(14463424-14468528),Cso3g3387|KAJ9558123.1|(77071532-77071835)
Asterales_Lsa_chr1_gene3214,Lsa1g3214|XP_023731201|(172138306-172138842),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3215,Lsa1g3215|XP_023731202|(172215476-172215832),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3216,Lsa1g3216|XP_023731212|(172256023-172256585),none,none,none,none,none,none,none,Cti6g1666|CtAH06T0166600.1|(36854948-36861104),none,none
Asterales_Lsa_chr1_gene3217,Lsa1g3217|XP_023731194|(172491676-172493246),Mmi16g0754|KAD3336824.1|(39374274-39375029),none,none,Han11g2390|XP_021993958|(142053290-142054717),none,none,Cca10g0395|XP_024983404|(13988325-13989782),none,Eca9g1231|XP_043610473|(15288708-15290258),none
Asterales_Lsa_chr1_gene3218,Lsa1g3218|XP_023731203|(172530053-172530505),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3219,Lsa1g3219|XP_023731198|(172599041-172608578),none,none,Han1g0383|XP_022042011|(13770340-13780438),none,Sre1g4027|Streb.1G040270.1|(125127802-125134485),none,Cca10g0383|XP_024983258|(13201871-13217385),Cti6g1663|CtAH06T0166300.1|(36328666-36343429),Eca9g1233|XP_043610019|(15421414-15431533),Cso3g3388|KAJ9558188.1|(77115057-77115119)
Asterales_Lsa_chr1_gene3220,Lsa1g3220|XP_023731205|(172696287-172697358),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3221,Lsa1g3221|XP_023731206|(172917495-172920386),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3222,Lsa1g3222|XP_023731207|(172981095-172983558),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3223,Lsa1g3223|XP_023758632|(173200546-173208271),Mmi16g0752|KAD3336822.1|(39330351-39337743),none,none,Han11g2386|XP_021993957|(142014788-142021930),none,none,Cca10g0382|XP_024982625|(13142291-13162258),Cti6g1655|CtAH06T0165500.1|(35677643-35692068),Eca9g1234|XP_043610124|(15441868-15448560),Cso3g3392|KAJ9557984.1|(77232247-77232846)
Asterales_Lsa_chr1_gene3224,Lsa1g3224|XP_023763118|(173306643-173308992),Mmi16g0751|KAD3336821.1|(39151554-39153267),none,none,Han11g2384|XP_021993956|(141998859-142001500),Sre1g4037|Streb.1G040370.1|(125288848-125290392),none,Cca10g0381|XP_024983206|(13089075-13091039),Cti6g1654|CtAH06T0165400.1|(35667511-35669576),Eca9g1235|XP_043610250|(15457837-15459955),none
Asterales_Lsa_chr1_gene3225,Lsa1g3225|XP_042751552|(173311720-173313115),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3226,Lsa1g3226|XP_023733094|(173420608-173421891),none,none,none,none,none,none,Cca10g0400|XP_024984087|(14284624-14286485),none,none,none
Asterales_Lsa_chr1_gene3227,Lsa1g3227|XP_023733093|(173675151-173675603),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3228,Lsa1g3228|XP_023733092|(173685546-173686284),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3229,Lsa1g3229|XP_023735708|(173838831-173844210),Mmi16g1787|KAD3337855.1|(77364224-77366663),none,none,Han11g2383|XP_021993952|(141923759-141929493),Sre1g4053|Streb.1G040530.1|(125436632-125440543),none,none,none,Eca9g1236|XP_043612102|(15574932-15578877),none
Asterales_Lsa_chr1_gene3230,Lsa1g3230|XP_042751559|(173850833-173862864),Mmi16g1786|KAD3337854.1|(77353678-77363925),none,Han1g0377|XP_022042004|(13532577-13538358),none,Sre1g4052|Streb.1G040520.1|(125421762-125436394),none,none,Cti6g1651|CtAH06T0165100.1|(35525524-35531408),Eca9g1237|XP_043612103|(15579953-15587626),none
Asterales_Lsa_chr1_gene3231,Lsa1g3231|XP_023735709|(173973233-173973733),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3232,Lsa1g3232|XP_023740657|(174349348-174350139),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3233,Lsa1g3233|XP_023740656|(174545427-174549200),none,none,Han1g0368|XP_022041997|(13131088-13133850),none,Sre1g4047|Streb.1G040470.1|(125385305-125388052),none,none,Cti6g1646|CtAH06T0164600.1|(35381101-35385077),Eca9g1240|XP_043610631|(15698228-15702702),Cso3g3397|KAJ9558037.1|(77482483-77482950)
Asterales_Lsa_chr1_gene3234,Lsa1g3234|XP_023740658|(174656334-174656843),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3235,Lsa1g3235|XP_042751561|(175136303-175142180),none,none,none,none,none,none,none,none,Eca9g1241|XP_043610630|(15707211-15715413),none
Asterales_Lsa_chr1_gene3236,Lsa1g3236|XP_023733219|(175178121-175186495),none,none,none,Han11g2368|XP_035835041|(140615475-140621436),none,none,Cca10g0319|XP_024983822|(9925033-9930100),Cti6g1644|CtAH06T0164400.1|(35123622-35129050),none,Cso3g3398|KAJ9557893.1|(77555737-77556275)
Asterales_Lsa_chr1_gene3237,Lsa1g3237|XP_023733220|(175264307-175270489),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3238,Lsa1g3238|XP_023733217|(175386932-175392357),none,none,none,Han11g2367|XP_021993898|(140610303-140615184),none,none,Cca10g0397|XP_024984085|(14160122-14164875),Cti6g1641|CtAH06T0164100.1|(35038647-35043585),Eca9g1243|XP_043611627|(15759110-15765159),Cso3g3399|KAJ9558034.1|(77643950-77644543)
Asterales_Lsa_chr1_gene3239,Lsa1g3239|XP_023733218|(175441241-175442176),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3240,Lsa1g3240|XP_023743729|(175529767-175530702),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3241,Lsa1g3241|XP_023743733|(175582308-175584568),none,none,none,none,none,none,none,none,none,Cso3g3400|KAJ9558032.1|(77656797-77656881)
Asterales_Lsa_chr1_gene3242,Lsa1g3242|XP_023743726|(175638830-175645287),Mmi16g0736|KAD3336806.1|(38183733-38198131),none,none,none,none,none,none,Cti6g1637|CtAH06T0163700.1|(34821396-34827466),Eca9g1246|XP_043609460|(15853285-15864795),Cso3g3402|KAJ9557976.1|(77687657-77688256)
Asterales_Lsa_chr1_gene3243,Lsa1g3243|XP_023743723|(175686629-175690854),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3244,Lsa1g3244|XP_023743730|(175691687-175692739),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3245,Lsa1g3245|XP_023743731|(175780572-175782589),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3246,Lsa1g3246|XP_023743732|(176032048-176032713),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3247,Lsa1g3247|XP_023743728|(176093452-176098439),none,none,none,none,none,none,Cca10g0336|XP_024983874|(10591211-10599472),Cti6g1634|CtAH06T0163400.1|(34775686-34781427),none,Cso3g3403|KAJ9557975.1|(77718922-77719195)
Asterales_Lsa_chr1_gene3248,Lsa1g3248|XP_023743725|(176105534-176107710),none,none,none,none,none,none,Cca10g0337|XP_024983220|(10605638-10608020),Cti6g1633|CtAH06T0163300.1|(34754977-34760900),Eca9g1247|XP_043612188|(15885023-15893949),Cso3g3404|KAJ9557977.1|(77730573-77730782)
Asterales_Lsa_chr1_gene3249,Lsa1g3249|XP_042751569|(176110089-176113303),none,none,none,none,none,none,Cca10g0396|XP_024982498|(14074424-14093266),Cti6g1627|CtAH06T0162700.1|(34624362-34637010),Eca9g1248|XP_043610848|(16048473-16058522),none
Asterales_Lsa_chr1_gene3250,Lsa1g3250|XP_023733798|(177046259-177047494),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3251,Lsa1g3251|XP_023733893|(177093910-177104526),none,none,none,none,Sre1g4050|Streb.1G040500.1|(125396629-125406559),none,Cca10g0361|XP_024982383|(12143263-12189469),Cti6g1623|CtAH06T0162300.1|(34402357-34432701),none,Cso3g3405|KAJ9558177.1|(77778166-77778406)
Asterales_Lsa_chr1_gene3252,Lsa1g3252|XP_023733998|(177115176-177117804),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3253,Lsa1g3253|XP_023734009|(177314797-177320513),Mmi16g1785|KAD3337853.1|(77317984-77325324),none,Han1g0366|XP_022041627|(12958562-12960704),Han11g2364|XP_021995149|(140540969-140546277),Sre1g4051|Streb.1G040510.1|(125408449-125413052),none,Cca10g0366|XP_024982758|(12324686-12335690),Cti6g1622|CtAH06T0162200.3|(34306166-34315966),Eca9g1251|XP_043610357|(16243034-16251962),Cso3g3409|KAJ9557972.1|(77925635-77926237)
Asterales_Lsa_chr1_gene3254,Lsa1g3254|XP_042753562|(177464613-177471260),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3255,Lsa1g3255|XP_023734107|(177529209-177530954),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3256,Lsa1g3256|XP_023734017|(177608299-177611628),none,none,none,Han11g2362|XP_021993901|(140505620-140509680),none,none,Cca10g0373|XP_024983164|(12560040-12571920),Cti6g1620|CtAH06T0162000.1|(34278560-34283976),none,Cso3g3410|KAJ9557973.1|(77934066-77934118)
Asterales_Lsa_chr1_gene3257,Lsa1g3257|XP_023733831|(177622500-177622943),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3258,Lsa1g3258|XP_023734045|(178036904-178040163),Mmi16g0725|KAD3336795.1|(36714973-36717860),none,Han1g0364|XP_022038290|(12764922-12768084),Han11g2360|XP_021993905|(140442518-140445967),none,none,none,Cti6g1614|CtAH06T0161400.1|(33782757-33787092),none,Cso3g3419|KAJ9558108.1|(78116108-78116493)
Asterales_Lsa_chr1_gene3259,Lsa1g3259|XP_023734058|(178045481-178049660),Mmi16g1782|KAD3337850.1|(77234796-77242475),none,Han1g0363|XP_022038287|(12742379-12746795),none,Sre1g4046|Streb.1G040460.1|(125378025-125382441),none,none,Cti6g1612|CtAH06T0161200.1|(33712669-33721020),none,none
Asterales_Lsa_chr1_gene3260,Lsa1g3260|XP_042751593|(178103269-178108205),Mmi16g1781|KAD3337849.1|(77223602-77230463),none,none,Han11g2359|XP_021993906|(140434229-140441740),Sre1g4045|Streb.1G040450.1|(125371526-125376832),none,Cca10g0359|XP_024982708|(12113608-12128967),Cti6g1611|CtAH06T0161100.1|(33681477-33688446),none,Cso3g3420|KAJ9558114.1|(78139504-78139695)
Asterales_Lsa_chr1_gene3261,Lsa1g3261|XP_023728646|(178224271-178225437),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3262,Lsa1g3262|XP_023728645|(178228080-178230290),Mmi16g0717|KAD3336787.1|(35603806-35605014),none,Han1g0360|XP_022041416|(12608970-12610881),Han11g2357|XP_021993907|(140301221-140303545),none,none,Cca10g0379|XP_024983967|(12887743-12890273),none,none,none
Asterales_Lsa_chr1_gene3263,Lsa1g3263|XP_023734631|(178434132-178434530),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3264,Lsa1g3264|XP_023734635|(178670908-178672391),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3265,Lsa1g3265|XP_023734632|(178778753-178779792),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3266,Lsa1g3266|XP_023734634|(178779829-178781179),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3267,Lsa1g3267|XP_023734636|(178855015-178856740),Mmi16g1779|KAD3337847.1|(77211506-77213936),none,none,none,Sre1g4044|Streb.1G040440.1|(125360685-125362569),none,Cca10g0402|XP_024983710|(14462491-14466213),Cti6g1609|CtAH06T0160900.1|(33616162-33619958),none,Cso3g3421|KAJ9558109.1|(78160568-78160740)
Asterales_Lsa_chr1_gene3268,Lsa1g3268|XP_023734627|(178857155-178860317),Mmi16g1778|KAD3337846.1|(77205301-77210520),none,none,none,Sre1g4043|Streb.1G040430.1|(125357794-125359972),none,Cca10g0403|XP_024984502|(14471766-14478539),Cti6g1608|CtAH06T0160800.1|(33605993-33615539),none,Cso3g3422|KAJ9558113.1|(78171047-78171964)
Asterales_Lsa_chr1_gene3269,Lsa1g3269|XP_023734628|(178950575-178961843),none,none,none,none,none,none,Cca10g0404|XP_024982507|(14479554-14501016),Cti6g1607|CtAH06T0160700.1|(33584976-33603534),none,Cso3g3423|KAJ9558115.1|(78180562-78180674)
Asterales_Lsa_chr1_gene3270,Lsa1g3270|XP_023771192|(179620172-179631101),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3271,Lsa1g3271|XP_023771194|(179679428-179682005),none,none,none,none,none,none,none,Cti1g1448|CtAH01T0144800.1|(46396979-46399215),none,none
Asterales_Lsa_chr1_gene3272,Lsa1g3272|XP_023771182|(179784138-179785364),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3273,Lsa1g3273|XP_023771174|(180085593-180086882),none,none,none,none,Sre1g4065|Streb.1G040650.1|(125556493-125559640),none,none,Cti1g1447|CtAH01T0144700.1|(46389638-46392159),none,none
Asterales_Lsa_chr1_gene3274,Lsa1g3274|XP_023771175|(180179388-180180983),none,none,none,none,Sre1g4075|Streb.1G040750.1|(125655241-125657073),none,none,none,none,none
Asterales_Lsa_chr1_gene3275,Lsa1g3275|XP_023771184|(180307163-180308026),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3276,Lsa1g3276|XP_023771176|(180323913-180325318),none,none,none,none,none,none,none,Cti1g1445|CtAH01T0144500.1|(46128578-46130727),none,none
Asterales_Lsa_chr1_gene3277,Lsa1g3277|XP_023771195|(180345835-180354917),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3278,Lsa1g3278|XP_023771185|(180415273-180416928),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3279,Lsa1g3279|XP_023771198|(180446216-180448230),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3280,Lsa1g3280|XP_023771179|(180744274-180745279),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3281,Lsa1g3281|XP_023771186|(180826530-180846979),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3282,Lsa1g3282|XP_023771187|(181069311-181070708),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3283,Lsa1g3283|XP_042751618|(181706938-181718840),none,Mmi11g1432|KAD4889300.1|(42668436-42669101),none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3284,Lsa1g3284|XP_023771188|(181768263-181770699),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3285,Lsa1g3285|XP_023771180|(181774354-181775530),none,none,none,none,none,none,none,Cti1g1430|CtAH01T0143000.1|(45049146-45051103),none,none
Asterales_Lsa_chr1_gene3286,Lsa1g3286|XP_023771199|(181827646-181830553),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3287,Lsa1g3287|XP_042751620|(181881218-181886745),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3288,Lsa1g3288|XP_023771200|(181983479-181985705),none,none,none,none,none,none,Cca10g0160|XP_024984403|(2940300-2941890),none,Eca9g1139|XP_043611194|(13059207-13061967),none
Asterales_Lsa_chr1_gene3289,Lsa1g3289|XP_023771181|(182031277-182056534),Mmi18g2325|KAD2806219.1|(93972187-93981441),Mmi11g1434|KAD4889302.1|(42758293-42767397),none,none,none,none,none,Cti1g1429|CtAH01T0142900.1|(44889012-44901909),Eca9g1163|XP_043611609|(13560898-13569745),Cso1g4405|KAJ9568410.1|(108951343-108951734)
Asterales_Lsa_chr1_gene3290,Lsa1g3290|XP_023771190|(182060218-182061684),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3291,Lsa1g3291|XP_023771202|(182068094-182074752),none,none,none,none,none,none,Cca10g0414|XP_024982496|(15126302-15132877),none,none,none
Asterales_Lsa_chr1_gene3292,Lsa1g3292|XP_023752609|(182379699-182385949),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3293,Lsa1g3293|XP_023752610|(182397391-182402267),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3294,Lsa1g3294|XP_023743925|(182625934-182632403),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3295,Lsa1g3295|XP_023743918|(182768001-182784657),Mmi18g2324|KAD2806218.1|(93948179-93955448),Mmi11g1437|KAD4889305.1|(42982422-43013514),none,none,none,none,none,Cti1g1425|CtAH01T0142500.1|(44737397-44756326),Eca9g1162|XP_043609038|(13545922-13554716),Cso1g4406|KAJ9568576.1|(109018058-109018443)
Asterales_Lsa_chr1_gene3296,Lsa1g3296|XP_023743922|(182853976-182857358),none,none,none,none,none,none,Cca10g0166|XP_024984493|(3049414-3055736),none,Eca9g1164|XP_043610779|(13574443-13578561),none
Asterales_Lsa_chr1_gene3297,Lsa1g3297|XP_023743926|(182884024-182885513),none,none,none,none,none,none,Cca10g0165|XP_024983908|(3033028-3033608),none,none,none
Asterales_Lsa_chr1_gene3298,Lsa1g3298|XP_023743924|(182971038-182972491),Mmi18g2320|KAD2806214.1|(93801236-93803298),Mmi11g1450|KAD4889318.1|(43395688-43398844),none,none,none,none,none,none,none,Cso1g4414|KAJ9568455.1|(109110582-109110661)
Asterales_Lsa_chr1_gene3299,Lsa1g3299|XP_023743923|(183164693-183166212),Mmi18g2319|KAD2806213.1|(93786989-93789537),Mmi11g1454|KAD4889322.1|(43486940-43489521),none,none,none,none,none,none,none,Cso1g4415|KAJ9568452.1|(109140769-109141152)
Asterales_Lsa_chr1_gene3300,Lsa1g3300|XP_023743920|(183250847-183251330),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3301,Lsa1g3301|XP_023732135|(183551957-183553711),Mmi18g2317|KAD2806211.1|(93774049-93776414),Mmi11g1455|KAD4889323.1|(43490993-43492142),none,none,none,none,none,none,none,Cso1g4417|KAJ9568453.1|(109158303-109158686)
Asterales_Lsa_chr1_gene3302,Lsa1g3302|XP_023732132|(183850125-183851506),none,none,none,none,none,none,none,none,none,Cso1g4419|KAJ9568456.1|(109174588-109174971)
Asterales_Lsa_chr1_gene3303,Lsa1g3303|XP_023732136|(184327913-184334063),none,none,none,none,none,none,Cca10g0150|XP_024983300|(2751583-2756301),Cti1g1420|CtAH01T0142000.1|(44615239-44620221),Eca9g1165|XP_043609180|(13596169-13603594),none
Asterales_Lsa_chr1_gene3304,Lsa1g3304|XP_042751624|(184454628-184457823),none,none,none,none,none,none,Cca10g0159|XP_024983557|(2899326-2905832),none,Eca9g1166|XP_043611097|(13606655-13611860),none
Asterales_Lsa_chr1_gene3305,Lsa1g3305|XP_023732131|(184458564-184463035),Mmi16g1798|KAD3337866.1|(77577832-77580443),none,none,none,Sre1g4059|Streb.1G040590.1|(125471036-125473180),none,none,none,Eca9g1167|XP_043611095|(13611921-13614546),none
Asterales_Lsa_chr1_gene3306,Lsa1g3306|XP_023732134|(184481014-184482225),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3307,Lsa1g3307|XP_023732133|(184605680-184606525),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3308,Lsa1g3308|XP_023732139|(184710288-184714587),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3309,Lsa1g3309|XP_023732127|(184925147-184926079),none,none,none,none,none,none,Cca10g0155|XP_024982933|(2813592-2814510),none,Eca9g1159|XP_043609863|(13475711-13476780),none
Asterales_Lsa_chr1_gene3310,Lsa1g3310|XP_023750454|(185049461-185050344),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3311,Lsa1g3311|XP_042753618|(185835941-185836372),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3312,Lsa1g3312|XP_042753619|(185879410-185883534),none,none,none,none,none,none,none,Cti1g1189|CtAH01T0118900.1|(29600697-29605094),none,none
Asterales_Lsa_chr1_gene3313,Lsa1g3313|XP_023764030|(186251851-186255115),none,none,none,none,none,none,Cca10g0141|XP_024982924|(2566178-2568370),Cti1g1186|CtAH01T0118600.1|(29348284-29352384),Eca9g1152|XP_043611605|(13286237-13288987),none
Asterales_Lsa_chr1_gene3314,Lsa1g3314|XP_023764029|(186319130-186320353),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3315,Lsa1g3315|XP_023764035|(186808639-186813420),none,none,none,none,none,none,none,none,Eca9g1151|XP_043609852|(13274308-13282145),none
Asterales_Lsa_chr1_gene3316,Lsa1g3316|XP_023752996|(187239599-187242792),none,none,Han1g0432|XP_022042305|(16877876-16881087),none,none,none,Cca10g0139|XP_024982591|(2465262-2470289),none,none,none
Asterales_Lsa_chr1_gene3317,Lsa1g3317|XP_023753003|(187364860-187365725),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3318,Lsa1g3318|XP_023753004|(187471197-187471577),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3319,Lsa1g3319|XP_023753006|(187784554-187785080),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3320,Lsa1g3320|XP_023753007|(187803559-187832150),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3321,Lsa1g3321|XP_023752997|(187880114-187884321),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3322,Lsa1g3322|XP_023753008|(187884762-187886669),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3323,Lsa1g3323|XP_023752998|(187887714-187888604),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3324,Lsa1g3324|XP_042751634|(187962653-187966009),Mmi16g1802|KAD3337870.1|(77638076-77647445),none,none,none,Sre1g4061|Streb.1G040610.1|(125481725-125490318),none,Cca10g0138|XP_024984325|(2426457-2436127),Cti1g1180|CtAH01T0118000.1|(28839958-28845897),Eca9g1155|XP_043612329|(13340242-13346459),none
Asterales_Lsa_chr1_gene3325,Lsa1g3325|XP_023753011|(188039074-188042744),Mmi16g1739|KAD3337807.1|(76614858-76622083),none,none,none,Sre1g4062|Streb.1G040620.1|(125491324-125495073),none,Cca10g0130|XP_024982909|(2263650-2268587),Cti1g1179|CtAH01T0117900.1|(28744780-28751227),none,none
Asterales_Lsa_chr1_gene3326,Lsa1g3326|XP_023753000|(188108138-188112163),none,none,none,none,none,none,Cca10g0154|XP_024983537|(2809495-2812267),Cti1g1177|CtAH01T0117700.1|(28649816-28653691),Eca9g1156|XP_043610778|(13421665-13424877),none
Asterales_Lsa_chr1_gene3327,Lsa1g3327|XP_023753010|(188218951-188219412),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3328,Lsa1g3328|XP_023753001|(188264044-188271668),none,none,none,none,none,none,Cca10g0153|XP_024983806|(2786486-2792752),Cti1g1176|CtAH01T0117600.1|(28332631-28369667),Eca9g1157|XP_043611079|(13427772-13437612),none
Asterales_Lsa_chr1_gene3329,Lsa1g3329|XP_023753002|(188316268-188325011),Mmi16g1803|KAD3337871.1|(77653324-77661159),none,none,none,Sre1g4063|Streb.1G040630.1|(125495639-125499641),none,Cca10g0152|XP_024982932|(2773628-2779164),Cti1g1175|CtAH01T0117500.1|(28201770-28203473),Eca9g1158|XP_043611283|(13462338-13468518),none
Asterales_Lsa_chr1_gene3330,Lsa1g3330|XP_042751640|(188393577-188395877),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3331,Lsa1g3331|XP_023737932|(188496607-188497959),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3332,Lsa1g3332|XP_023760653|(188659494-188661304),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3333,Lsa1g3333|XP_023745448|(188760508-188769058),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3334,Lsa1g3334|XP_023745449|(188783977-188784438),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3335,Lsa1g3335|XP_023772831|(188994762-188995283),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3336,Lsa1g3336|XP_023772829|(189052725-189054031),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3337,Lsa1g3337|XP_023772833|(189169155-189171245),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3338,Lsa1g3338|XP_023731121|(189478837-189479999),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3339,Lsa1g3339|XP_023751189|(189986705-189995049),Mmi16g1809|KAD3337877.1|(77790076-77799032),none,Han1g0443|XP_035846322|(19644598-19652066),none,Sre1g4068|Streb.1G040680.1|(125577238-125584887),none,Cca10g0144|XP_024982806|(2645298-2657267),Cti1g1209|CtAH01T0120900.1|(30802802-30815469),Eca9g1146|XP_043610525|(13132132-13140347),Cso1g2493|KAJ9566448.1|(61677565-61677630)
Asterales_Lsa_chr1_gene3340,Lsa1g3340|XP_023751190|(190032808-190038941),Mmi16g1810|KAD3337878.1|(77807193-77814862),none,Han1g0444|XP_022042078|(19658518-19663222),none,Sre1g4069|Streb.1G040690.1|(125617344-125624160),none,Cca10g0143|XP_024983152|(2586913-2606670),Cti1g1212|CtAH01T0121200.1|(30906732-30920285),none,none
Asterales_Lsa_chr1_gene3341,Lsa1g3341|XP_023751201|(190058073-190061956),none,none,Han1g0445|XP_022033448|(19722790-19723748),none,Sre1g4070|Streb.1G040700.1|(125624576-125626643),none,Cca10g0142|XP_024984489|(2580037-2580962),Cti1g1213|CtAH01T0121300.1|(30946439-30947782),none,none
Asterales_Lsa_chr1_gene3342,Lsa1g3342|XP_023751197|(190129440-190129868),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3343,Lsa1g3343|XP_023751198|(190133849-190146897),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3344,Lsa1g3344|XP_023751191|(190152833-190157134),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3345,Lsa1g3345|XP_023751192|(190406466-190409443),none,none,none,none,Sre1g4125|Streb.1G041250.1|(126323993-126327084),none,Cca10g0056|XP_024983548|(680782-687164),Cti1g1400|CtAH01T0140000.1|(43849084-43857860),none,Cso1g2711|KAJ9566705.1|(68521995-68522449)
Asterales_Lsa_chr1_gene3346,Lsa1g3346|XP_023751193|(190453680-190462749),none,none,none,none,Sre1g4124|Streb.1G041240.1|(126312750-126321577),none,Cca10g0057|XP_024984549|(689920-702726),Cti1g1395|CtAH01T0139500.1|(43722184-43739858),none,Cso1g2707|KAJ9566706.1|(68490700-68491296)
Asterales_Lsa_chr1_gene3347,Lsa1g3347|XP_023751200|(190615906-190616541),none,none,none,none,none,none,none,none,none,none
Asterales_Lsa_chr1_gene3348,Lsa1g3348|XP_023751196|(190671157-190679735),none,none,none,none,Sre1g4123|Streb.1G041230.1|(126303746-126310279),none,Cca10g0059|XP_024984702|(729264-742283),Cti1g1392|CtAH01T0139200.2|(43584926-43595428),none,Cso1g2704|KAJ9566910.1|(68387289-68387560)
